NetSiteNum,NetSiteAbbrev,Lat,Lon,Elevation
1,FARM,36.92669,-86.46519,559
2,RSVL,36.85296,-86.91544,660
3,MRHD,38.21914,-83.47736,851
4,MRRY,36.61261,-88.33579,568
5,PCWN,37.28029,-84.96408,958
6,HTFD,37.45732,-86.85513,538
7,CMBA,37.14450,-85.29454,848
8,CRMT,37.92245,-85.65755,546
9,LXGN,37.97496,-84.53354,1044
10,BLRK,37.46262,-86.34379,722
11,SCTV,36.74426,-86.21881,818
12,PRNC,37.09534,-87.86162,509
13,BMBL,36.87034,-83.83302,1016
14,PGHL,36.94682,-87.52138,729
15,LSML,38.11617,-84.88206,748
16,ERLN,37.26764,-87.48109,592
17,OLIN,37.35629,-83.97128,1319
18,QKSD,37.53931,-83.34361,688
19,SWON,38.55099,-84.74443,870
20,LGNT,37.57996,-84.62144,977
21,MROK,37.01328,-86.10588,696
22,PVRT,37.58527,-87.31713,404
23,BNGL,37.35652,-85.45884,785
24,CRRL,38.68919,-85.14227,472
25,HRDB,37.80583,-84.83987,896
26,FRNY,37.69185,-87.84446,440
27,GRDR,36.80221,-85.43101,551
28,RPTN,37.37774,-88.03613,594
29,ELST,37.71850,-84.15432,860
30,DRFN,36.91611,-88.33621,469
31,BTCK,37.83058,-82.87830,755
32,WLBT,37.90070,-83.26950,1071
33,WSHT,38.62369,-83.80754,909
34,WNCH,38.03461,-84.20518,973
35,CCLA,37.67939,-85.97877,746
36,BNVL,37.45196,-83.68576,784
37,RNDH,36.98902,-85.70415,1002
38,HCKM,36.57108,-89.15859,345
39,RBSN,38.49845,-84.34534,657
40,HHTS,39.01997,-84.47495,838
41,PRYB,36.69823,-88.72388,434
42,CADZ,36.82746,-87.86036,505
43,ALBN,36.71057,-85.13822,1020
44,HUEY,38.96701,-84.72165,896
45,VEST,37.40718,-82.99309,1556
46,GRHM,37.82107,-87.50874,513
47,MQDY,37.71371,-86.49622,698
48,CLSL,38.27965,-84.10369,940
49,CHTR,38.58051,-83.42322,546
50,FLRK,36.77062,-84.47668,1312
51,DORT,37.28480,-82.52458,2774
52,FCHV,38.16398,-85.38443,770
53,LGRN,38.46417,-85.47337,766
54,HDYV,37.26060,-85.77805,716
55,LUSA,38.09948,-82.60342,716
56,PRST,38.08892,-83.76462,829
57,BRND,37.95147,-86.22353,603
58,LRTO,37.62604,-85.37044,764
59,HDGV,37.57281,-85.70450,831
60,WTBG,37.12514,-82.84103,1152
61,SWZR,36.67330,-86.61416,740
62,CCTY,37.28792,-87.16084,522
63,ZION,36.75871,-87.21381,593
64,PSPG,37.01154,-86.37331,551
65,BMTN,36.91973,-82.90619,4031
66,WDBY,37.17535,-86.64886,421
67,DANV,37.62350,-84.82212,981
68,CROP,38.33022,-85.16864,844
69,HARD,37.75927,-86.46125,643
70,GAMA,36.66154,-85.79668,842
71,DABN,37.17853,-84.55867,1085
72,DIXO,37.52337,-87.69352,479
73,WADD,38.09216,-85.13898,838
74,EWPK,37.03825,-86.34780,538
76,RFVC,37.46072,-83.15864,833
77,RFSM,37.43010,-83.17972,1373
78,CARL,38.32092,-84.03856,930
79,MONT,36.87188,-84.90280,1045
80,BAND,37.13263,-88.94850,357
81,WOOD,36.99315,-84.96609,988
82,DCRD,37.86619,-83.64786,1253
83,SPIN,38.13352,-84.49927,936